"case_id","reason","age","from","to","lost_time","found_date"
"4443","trafficked",2,"Sichuan","Sichuan",28,2022
"4442","trafficked",14,"Ningxia","Guangdong",34,2022
"4441","trafficked",1,"Yunnan","Henan",35,2022
"4440","runaway",15,"Guangdong","Liaoning",15,2022
"4439","trafficked",5,"Sichuan","Guangdong",30,2022
"4438","trafficked",15,"Sichuan","Inner Mongol",32,2022
"4437","trafficked",16,"Yunnan","Guangxi",32,2022
"4436","trafficked",3,"Guizhou","Fujian",24,2022
"4435","put up for adoption",0,"Jiangsu","Shandong",51,2022
"4434","put up for adoption",0,"Sichuan","Guangdong",26,2022
"4433","trafficked",0,"Sichuan","Guangdong",26,2022
"4432","lost",3,"Guangxi","Guangxi",26,2022
"4431","put up for adoption",6,"Yunnan","Henan",33,2022
"4430","trafficked",5,"Guizhou","Henan",35,2022
"4429","put up for adoption",0,"Anhui","Shanghai",25,2022
"4428","trafficked",2,"Shaanxi","Henan",24,2022
"4427","trafficked",4,"Guizhou","Fujian",28,2022
"4426","put up for adoption",3,"Guizhou","Fujian",26,2022
"4425","trafficked",0,"Guangdong","Fujian",28,2022
"4424","put up for adoption",4,"Guangxi","Guangdong",29,2022
"4423","trafficked",3,"Hubei","Jiangsu",36,2022
"4422","trafficked",5,"Anhui","Hubei",63,2022
"4421","trafficked",4,"Fujian","Fujian",15,2022
"4420","trafficked",4,"Hubei","Fujian",32,2022
"4419","trafficked",5,"Guizhou","Fujian",33,2022
"4418","trafficked",4,"Yunnan","Hebei",21,2022
"4417","trafficked",5,"Heilongjiang","Shandong",27,2022
"4416","abandoned",0,"Guangdong","Jiangxi",31,2022
"4415","put up for adoption",0,"Sichuan","Sichuan",27,2022
"4414","trafficked",2,"Sichuan","Henan",33,2022
"4413","trafficked",15,"Hunan","Hunan",2,2022
"4412","put up for adoption",0,"Henan","Henan",35,2022
"4411","put up for adoption",0,"Beijing","Beijing",65,2022
"4410","trafficked",13,"Guizhou","Anhui",20,2022
"4409","trafficked",13,"Guizhou","Anhui",15,2022
"4408","trafficked",4,"Sichuan","Fujian",29,2022
"4407","trafficked",7,"Guizhou","Guangdong",26,2022
"4406","trafficked",4,"Guangdong","Guangdong",23,2022
"4405","trafficked",2,"Guizhou","Fujian",31,2022
"4404","trafficked",8,"Guizhou","Guangdong",21,2022
"4403","lost",2,"Sichuan","Sichuan",26,2022
"4402","trafficked",6,"Yunnan","Fujian",27,2022
"4401","put up for adoption",3,"Jiangsu","Jiangsu",61,2022
"4400","trafficked",10,"Yunnan","Hunan",28,2022
"4399","trafficked",4,"Guizhou","Fujian",29,2022
"4398","put up for adoption",8,"Jiangsu","Jiangsu",66,2022
"4397","abandoned",0,"Hubei","Hebei",42,2022
"4396","lost",4,"Henan","Xinjiang",35,2022
"4395","lost",5,"Hubei","Henan",27,2022
"4394","lost",8,"Hebei","Tianjin",61,2022
"4393","trafficked",4,"Guangdong","Guangdong",20,2022
"4392","trafficked",3,"Hubei","Guangdong",26,2022
"4391","trafficked",4,"Hubei","Guangdong",26,2022
"4390","trafficked",5,"Hunan","Fujian",37,2022
"4389","put up for adoption",1,"Shanghai","Shanxi",59,2022
"4388","put up for adoption",0,"Jiangsu","Anhui",41,2022
"4387","put up for adoption",0,"Shaanxi","Henan",29,2022
"4386","trafficked",22,"Gansu","Anhui",34,2022
"4385","trafficked",6,"Guangxi","Hunan",33,2022
"4384","trafficked",1,"Guizhou","Hebei",31,2022
"4383","trafficked",2,"Sichuan","Sichuan",42,2022
"4382","put up for adoption",0,"Guangxi","Guangdong",30,2022
"4381","trafficked",5,"Shaanxi","Hebei",29,2022
"4380","trafficked",4,"Hubei","Fujian",28,2022
"4379","put up for adoption",0,"Zhejiang","Shandong",46,2022
"4378","trafficked",3,"Guangdong","Guangdong",23,2022
"4377","trafficked",4,"Jiangsu","Jiangsu",27,2022
"4375","trafficked",0,"Guangdong","Guangdong",23,2022
"4374","trafficked",6,"Fujian","Fujian",28,2022
"4373","trafficked",1,"Guangdong","Guangdong",29,2022
"4372","put up for adoption",0,"Yunnan","Fujian",29,2022
"4371","trafficked",1,"Henan","Henan",30,2022
"4370","trafficked",5,"Sichuan","Henan",44,2022
"4369","put up for adoption",0,"Shanxi","Shandong",42,2022
"4368","trafficked",4,"Guizhou","Fujian",26,2022
"4367","trafficked",5,"Henan","Henan",30,2022
"4366","put up for adoption",4,"Shandong","Shandong",61,2022
"4365","trafficked",1,"Guizhou","Fujian",31,2022
"4364","trafficked",3,"Fujian","Shaanxi",33,2022
"4363","abandoned",0,"Jiangxi","Jiangxi",48,2022
"4362","trafficked",4,"Zhejiang","Guangdong",31,2022
"4361","trafficked",4,"Sichuan","Henan",32,2022
"4360","trafficked",6,"Chongqing","Fujian",28,2022
"4359","put up for adoption",0,"Jiangsu","Jiangsu",65,2022
"4358","trafficked",4,"Guangdong","Guangdong",26,2022
"4357","trafficked",7,"Guizhou","Fujian",24,2022
"4356","put up for adoption",2,"Jiangsu","Shanxi",63,2022
"4355","trafficked",4,"Guizhou","Fujian",33,2022
"4354","trafficked",4,"Guizhou","Fujian",28,2022
"4353","trafficked",1,"Henan","Henan",39,2022
"4352","trafficked",9,"Guizhou","Fujian",26,2022
"4351","put up for adoption",1,"Zhejiang","Shandong",54,2022
"4350","put up for adoption",1,"Jiangsu","Shanghai",43,2022
"4349","trafficked",3,"Yunnan","Fujian",29,2022
"4348","put up for adoption",0,"Shaanxi","Shaanxi",26,2022
"4347","lost",5,"Fujian","Fujian",30,2022
"4346","trafficked",6,"Chongqing","Hunan",24,2022
"4345","trafficked",20,"Guizhou","Guizhou",18,2022
"4344","trafficked",1,"Guizhou","Hebei",31,2022
"4343","trafficked",4,"Guangdong","Guangdong",27,2022
"4342","trafficked",9,"Sichuan","Jiangsu",39,2022
"4341","trafficked",5,"Guangdong","Guangdong",26,2022
"4340","trafficked",7,"Guangdong","Guangdong",18,2022
"4339","put up for adoption",0,"Sichuan","Henan",35,2022
"4338","trafficked",9,"Shaanxi","Shaanxi",28,2022
"4337","trafficked",3,"Yunnan","Jiangsu",31,2022
"4336","trafficked",0,"Shanxi","Henan",51,2022
"4335","trafficked",5,"Guizhou","Fujian",26,2022
"4334","trafficked",5,"Jiangxi","Zhejiang",26,2022
"4333","put up for adoption",1,"Shanxi","Shanxi",28,2022
"4332","trafficked",6,"Sichuan","Hubei",18,2022
"4331","trafficked",3,"Henan","Henan",21,2022
"4330","lost",14,"Sichuan","Jiangsu",26,2022
"4329","trafficked",3,"Guizhou","Zhejiang",24,2022
"4328","trafficked",1,"Chongqing","Chongqing",18,2022
"4327","trafficked",3,"Guangxi","Fujian",26,2022
"4326","trafficked",5,"Guizhou","Henan",31,2022
"4325","trafficked",5,"Shaanxi","Shandong",28,2022
"4324","trafficked",15,"Yunnan","Shaanxi",27,2022
"4323","trafficked",3,"Guizhou","Henan",33,2022
"4322","trafficked",2,"Hunan","Guangdong",19,2022
"4320","put up for adoption",5,"Henan","Jiangsu",25,2022
"4319","trafficked",8,"Henan","Henan",31,2022
"4318","put up for adoption",4,"Jiangsu","Jiangsu",66,2022
"4317","trafficked",1,"Guizhou","Fujian",30,2022
"4316","trafficked",6,"Sichuan","Shandong",21,2022
"4315","trafficked",5,"Guangdong","Fujian",24,2022
"4314","put up for adoption",4,"Henan","Henan",32,2022
"4313","trafficked",4,"Guizhou","Fujian",33,2022
"4312","trafficked",5,"Zhejiang","Fujian",15,2022
"4311","trafficked",4,"Guizhou","Jiangsu",33,2022
"4310","put up for adoption",1,"Zhejiang","Shandong",44,2022
"4309","put up for adoption",3,"Anhui","Shanxi",63,2022
"4308","put up for adoption",4,"Shaanxi","Hebei",29,2022
"4307","trafficked",4,"Hubei","Hebei",28,2022
"4305","trafficked",2,"Fujian","Fujian",30,2022
"4304","trafficked",6,"Hunan","Fujian",31,2022
"4303","put up for adoption",3,"Shaanxi","Henan",31,2022
"4302","trafficked",4,"Guangxi","Hebei",34,2022
"4301","trafficked",15,"Sichuan","Guangdong",19,2022
"4300","trafficked",0,"Guizhou","Fujian",26,2022
"4298","trafficked",5,"Guizhou","Henan",33,2022
"4297","abandoned",5,"Guangxi","Guangxi",62,2022
"4296","trafficked",1,"Guizhou","Fujian",26,2022
"4295","put up for adoption",0,"Sichuan","Guangdong",28,2022
"4294","trafficked",4,"Yunnan","Guangdong",23,2022
"4293","trafficked",3,"Guizhou","Henan",35,2022
"4292","trafficked",5,"Shaanxi","Gansu",38,2022
"4291","put up for adoption",1,"Hebei","Beijing",64,2022
"4290","trafficked",4,"Hebei","Hebei",26,2022
"4289","trafficked",4,"Fujian","Fujian",27,2022
"4288","trafficked",3,"Sichuan","Jiangsu",33,2022
"4287","put up for adoption",1,"Sichuan","Shaanxi",76,2022
"4286","trafficked",4,"Sichuan","Sichuan",14,2022
"4285","trafficked",3,"Jiangsu","Hunan",14,2022
"4284","trafficked",5,"Shandong","Shandong",30,2022
"4283","trafficked",0,"Yunnan","Fujian",22,2022
"4282","put up for adoption",0,"Jiangxi","Shandong",50,2022
"4281","runaway",3,"Henan","Henan",24,2022
"4280","put up for adoption",0,"Zhejiang","Shandong",58,2022
"4279","trafficked",6,"Shaanxi","Hubei",24,2022
"4278","trafficked",2,"Chongqing","Fujian",33,2022
"4277","trafficked",6,"Hebei","Tianjin",16,2022
"4276","trafficked",1,"Fujian","Fujian",34,2022
"4274","trafficked",2,"Fujian","Fujian",37,2022
"4273","put up for adoption",4,"Hebei","Hebei",25,2022
"4272","trafficked",10,"Guizhou","Hebei",27,2022
"4271","trafficked",1,"Sichuan","Anhui",32,2022
"4270","put up for adoption",0,"Sichuan","Beijing",35,2022
"4269","lost",5,"Hebei","Jiangsu",87,2022
"4268","trafficked",4,"Guizhou","Fujian",24,2022
"4267","put up for adoption",1,"Jiangsu","Liaoning",64,2022
"4266","trafficked",4,"Hunan","Guangdong",30,2022
"4265","put up for adoption",0,"Sichuan","Henan",28,2022
"4264","abandoned",0,"Anhui","Shanghai",22,2022
"4263","trafficked",2,"Guizhou","Fujian",34,2022
"4262","put up for adoption",4,"Jiangsu","Jiangsu",61,2022
"4261","trafficked",2,"Yunnan","Jiangsu",31,2022
"4260","trafficked",4,"Sichuan","Hebei",36,2022
"4259","trafficked",6,"Guangxi","Fujian",33,2022
"4258","trafficked",8,"Guizhou","Fujian",31,2022
"4257","trafficked",6,"Hunan","Hunan",42,2022
"4256","trafficked",3,"Guizhou","Fujian",35,2022
"4255","lost",14,"Yunnan","Sichuan",90,2022
"4253","put up for adoption",1,"Jiangsu","Jiangsu",62,2022
"4252","trafficked",3,"Yunnan","Hebei",20,2022
"4251","put up for adoption",0,"Jiangsu","Shandong",50,2022
"4250","abandoned",0,"Anhui","Jiangsu",64,2022
"4249","trafficked",2,"Guangdong","Guangdong",27,2022
"4248","trafficked",4,"Guangdong","Anhui",18,2022
"4247","trafficked",4,"Guizhou","Jiangsu",31,2022
"4246","trafficked",4,"Guizhou","Guangdong",24,2022
"4245","lost",3,"Hainan","Hainan",23,2022
"4244","put up for adoption",3,"Hunan","Hebei",60,2022
"4243","trafficked",5,"Fujian","Fujian",29,2022
"4242","trafficked",5,"Gansu","Gansu",64,2022
"4241","trafficked",4,"Hubei","Fujian",32,2022
"4240","trafficked",2,"Jiangsu","Shandong",57,2022
"4239","trafficked",9,"Guangdong","Henan",22,2022
"4238","trafficked",3,"Guizhou","Hubei",18,2022
"4237","trafficked",10,"Guangdong","Guangxi",82,2022
"4235","put up for adoption",0,"Heilongjiang","Heilongjiang",32,2022
"4234","trafficked",2,"Fujian","Fujian",31,2022
"4233","trafficked",2,"Chongqing","Fujian",33,2022
"4232","trafficked",3,"Shanxi","Hebei",33,2022
"4231","trafficked",7,"Guizhou","Fujian",30,2022
"4230","abandoned",0,"Shaanxi","Shaanxi",41,2022
"4229","trafficked",2,"Guangdong","Guangdong",23,2022
"4228","abandoned",5,"Anhui","Jiangsu",64,2022
"4227","put up for adoption",0,"Shaanxi","Shaanxi",34,2022
"4226","abandoned",0,"Shanghai","Liaoning",64,2022
"4225","put up for adoption",0,"Jilin","Jilin",33,2022
"4224","trafficked",2,"Guizhou","Hebei",25,2022
"4223","trafficked",6,"Sichuan","Hebei",25,2022
"4222","trafficked",3,"Guizhou","Fujian",33,2022
"4221","trafficked",2,"Hubei","Anhui",44,2022
"4220","trafficked",1,"Henan","Henan",35,2022
"4219","trafficked",4,"Chongqing","Fujian",28,2022
"4218","trafficked",9,"Hebei","Shandong",79,2022
"4217","trafficked",14,"Hebei","Hebei",41,2022
"4216","trafficked",5,"Guizhou","Fujian",31,2022
"4215","trafficked",6,"Chongqing","Fujian",33,2022
"4214","trafficked",6,"Guizhou","Hunan",32,2022
"4213","trafficked",3,"Hubei","Hebei",27,2022
"4212","put up for adoption",0,"Shanghai","Henan",58,2022
"4211","put up for adoption",7,"Jiangsu","Hebei",65,2022
"4210","put up for adoption",0,"Liaoning","Liaoning",34,2021
"4209","trafficked",3,"Fujian","Fujian",37,2021
"4208","trafficked",4,"Guangxi","Guangdong",26,2021
"4207","lost",6,"Jiangsu","Jiangsu",60,2021
"4206","put up for adoption",0,"Anhui","Henan",58,2021
"4205","put up for adoption",0,"Jilin","Jilin",45,2021
"4204","trafficked",4,"Henan","Shanxi",35,2021
"4203","trafficked",4,"Sichuan","Henan",29,2021
"4202","trafficked",0,"Tianjin","Tianjin",53,2021
"4201","trafficked",9,"Jiangsu","Hebei",68,2021
"4200","put up for adoption",0,"Fujian","Guangdong",41,2021
"4199","trafficked",4,"Guizhou","Fujian",28,2021
"4198","trafficked",4,"Guizhou","Guangdong",28,2021
"4197","trafficked",6,"Jiangsu","Jiangsu",25,2021
"4196","trafficked",0,"Shaanxi","Hebei",33,2021
"4195","trafficked",4,"Henan","Henan",29,2021
"4194","trafficked",4,"Fujian","Fujian",28,2021
"4193","trafficked",3,"Guizhou","Fujian",28,2021
"4192","trafficked",7,"Guangdong","Guangdong",21,2021
"4191","trafficked",5,"Fujian","Fujian",24,2021
"4190","trafficked",1,"Guangdong","Anhui",36,2021
"4189","trafficked",1,"Guizhou","Fujian",22,2021
"4188","trafficked",4,"Guangdong","Hunan",27,2021
"4187","trafficked",9,"Hunan","Guangdong",42,2021
"4186","abandoned",0,"Guangdong","Guangdong",27,2021
"4185","put up for adoption",1,"Jiangsu","Jiangsu",52,2021
"4184","put up for adoption",2,"Jiangsu","Jiangsu",60,2021
"4183","trafficked",3,"Guizhou","Fujian",14,2021
"4182","abandoned",0,"Jiangsu","Shanghai",61,2021
"4181","trafficked",4,"Guangdong","Guangdong",30,2021
"4180","runaway",14,"Chongqing","Fujian",13,2021
"4179","trafficked",2,"Sichuan","Hebei",30,2021
"4178","put up for adoption",0,"Henan","Henan",24,2021
"4177","trafficked",4,"Guangdong","Guangdong",19,2021
"4176","trafficked",13,"Jiangsu","Guizhou",15,2021
"4175","trafficked",4,"Guangxi","Hunan",28,2021
"4174","put up for adoption",2,"Guizhou","Henan",36,2021
"4173","trafficked",0,"Fujian","Fujian",30,2021
"4172","abandoned",0,"Anhui","Anhui",26,2021
"4171","trafficked",15,"Sichuan","Inner Mongol",30,2021
"4170","trafficked",15,"Sichuan","Hebei",36,2021
"4169","trafficked",0,"Sichuan","Anhui",45,2021
"4168","trafficked",4,"Henan","Jiangsu",30,2021
"4167","trafficked",4,"Chongqing","Chongqing",23,2021
"4166","trafficked",3,"Guizhou","Fujian",18,2021
"4165","trafficked",3,"Guizhou","Henan",30,2021
"4164","put up for adoption",0,"Guangdong","Hunan",52,2021
"4163","trafficked",2,"Sichuan","Fujian",33,2021
"4162","trafficked",5,"Henan","Jiangsu",23,2021
"4161","put up for adoption",0,"Zhejiang","Jiangsu",61,2021
"4160","trafficked",0,"Hunan","Henan",32,2021
"4159","trafficked",4,"Henan","Henan",30,2021
"4158","put up for adoption",1,"Jiangsu","Shandong",64,2021
"4157","put up for adoption",0,"Fujian","Jiangsu",24,2021
"4156","trafficked",3,"Sichuan","Henan",31,2021
"4155","put up for adoption",3,"Guangxi","Guangdong",29,2021
"4154","trafficked",3,"Jiangxi","Fujian",31,2021
"4153","put up for adoption",0,"Hebei","Hebei",38,2021
"4152","lost",2,"Guangdong","Hunan",71,2021
"4151","abandoned",1,"Shandong","Shandong",50,2021
"4150","trafficked",8,"Guangdong","Shandong",18,2021
"4149","trafficked",0,"Shandong","Shandong",26,2021
"4148","trafficked",3,"Sichuan","Fujian",23,2021
"4147","trafficked",5,"Henan","Henan",24,2021
"4146","trafficked",0,"Jiangsu","Jiangsu",56,2021
"4145","trafficked",3,"Guizhou","Fujian",26,2021
"4144","trafficked",3,"Shanghai","Anhui",24,2021
"4143","trafficked",4,"Fujian","Fujian",39,2021
"4142","trafficked",6,"Guangxi","Jiangxi",9,2021
"4141","put up for adoption",0,"Jiangsu","Jiangsu",38,2021
"4140","trafficked",4,"Guizhou","Guizhou",31,2021
"4139","trafficked",5,"Guizhou","Fujian",29,2021
"4138","trafficked",13,"Sichuan","Gansu",17,2021
"4137","lost",2,"Shandong","Shandong",35,2021
"4136","trafficked",6,"Chongqing","Chongqing",62,2021
"4135","trafficked",5,"Shaanxi","Henan",17,2021
"4134","trafficked",4,"Shaanxi","Henan",25,2021
"4133","trafficked",3,"Anhui","Anhui",28,2021
"4132","trafficked",4,"Guangdong","Guangxi",25,2021
"4131","lost",3,"Hunan","Hunan",34,2021
"4130","put up for adoption",0,"Jiangsu","Anhui",63,2021
"4129","trafficked",3,"Guizhou","Fujian",26,2021
"4128","trafficked",1,"Guangdong","Guangdong",22,2021
"4127","trafficked",6,"Guangxi","Guangdong",16,2021
"4126","abandoned",0,"Anhui","Anhui",30,2021
"4125","trafficked",7,"Guizhou","Fujian",30,2021
"4124","trafficked",1,"Guizhou","Jiangxi",23,2021
"4123","trafficked",3,"Sichuan","Fujian",30,2021
"4122","put up for adoption",9,"Guizhou","Guangdong",27,2021
"4121","put up for adoption",0,"Jiangsu","Shanxi",63,2021
"4120","trafficked",15,"Guizhou","Yunnan",12,2021
"4119","trafficked",2,"Hunan","Hebei",29,2021
"4118","trafficked",5,"Yunnan","Fujian",25,2021
"4117","runaway",14,"Liaoning","Liaoning",13,2021
"4116","put up for adoption",0,"Hubei","Hubei",49,2021
"4115","trafficked",6,"Sichuan","Guangdong",25,2021
"4114","put up for adoption",0,"Zhejiang","Shandong",39,2021
"4113","abandoned",0,"Anhui","Anhui",50,2021
"4112","trafficked",3,"Guizhou","Fujian",33,2021
"4111","put up for adoption",0,"Zhejiang","Shandong",47,2021
"4110","trafficked",2,"Fujian","Fujian",27,2021
"4109","put up for adoption",0,"Gansu","Gansu",53,2021
"4108","abandoned",2,"Jiangsu","Jiangsu",63,2021
"4107","trafficked",8,"Guizhou","Guangdong",18,2021
"4106","trafficked",15,"Beijing","Sichuan",13,2021
"4105","trafficked",0,"Hunan","Hebei",36,2021
"4103","trafficked",4,"Yunnan","Yunnan",19,2021
"4102","trafficked",4,"Guangxi","Guangxi",22,2021
"4101","put up for adoption",7,"Zhejiang","Jiangxi",58,2021
"4100","trafficked",2,"Sichuan","Fujian",29,2021
"4099","trafficked",7,"Sichuan","Hebei",32,2021
"4098","trafficked",4,"Guangdong","Guangdong",19,2021
"4097","trafficked",14,"Guizhou","Fujian",32,2021
"4096","trafficked",5,"Henan","Henan",25,2021
"4095","put up for adoption",5,"Shanxi","Henan",25,2021
"4094","trafficked",5,"Sichuan","Fujian",28,2021
"4093","lost",8,"Jiangsu","Shanghai",62,2021
"4092","trafficked",4,"Guangdong","Guangdong",22,2021
"4091","trafficked",2,"Sichuan","Guangdong",29,2021
"4090","trafficked",5,"Yunnan","Hebei",28,2021
"4089","trafficked",5,"Sichuan","Fujian",17,2021
"4088","trafficked",4,"Sichuan","Hebei",35,2021
"4087","put up for adoption",0,"Shanxi","Henan",57,2021
"4086","trafficked",6,"Guangdong","Guangdong",31,2021
"4085","put up for adoption",4,"Hunan","Guangdong",28,2021
"4084","put up for adoption",5,"Hunan","Fujian",31,2021
"4083","trafficked",6,"Guizhou","Fujian",35,2021
"4082","abandoned",2,"Fujian","Fujian",31,2021
"4081","trafficked",2,"Guizhou","Henan",18,2021
"4080","lost",7,"Hebei","Shandong",17,2021
"4079","abandoned",0,"Yunnan","Yunnan",14,2021
"4078","trafficked",5,"Zhejiang","Zhejiang",16,2021
"4077","trafficked",15,"Sichuan","Fujian",20,2021
"4076","put up for adoption",0,"Guangdong","Guangdong",49,2021
"4075","lost",7,"Zhejiang","Shanxi",62,2021
"4074","trafficked",6,"Guangxi","Guangdong",22,2021
"4073","lost",0,"Shandong","Guizhou",31,2021
"4072","trafficked",16,"Heilongjiang","Shandong",8,2021
"4071","put up for adoption",0,"Hubei","Henan",28,2021
"4070","trafficked",4,"Guangdong","Guangdong",27,2021
"4069","put up for adoption",1,"Jiangsu","Hebei",62,2021
"4068","trafficked",5,"Sichuan","Zhejiang",41,2021
"4067","trafficked",5,"Guizhou","Hebei",30,2021
"4066","trafficked",5,"Hubei","Hebei",25,2021
"4065","put up for adoption",0,"Henan","Henan",23,2021
"4064","put up for adoption",0,"Jilin","Jilin",32,2021
"4063","trafficked",2,"Yunnan","Fujian",31,2021
"4062","trafficked",2,"Shandong","Shandong",23,2021
"4061","trafficked",16,"Yunnan","Henan",14,2021
"4060","trafficked",14,"Yunnan","Shanxi",18,2021
"4059","trafficked",3,"Hunan","Shandong",30,2021
"4058","trafficked",0,"Yunnan","Yunnan",35,2021
"4057","put up for adoption",6,"Sichuan","Shandong",31,2021
"4056","trafficked",4,"Fujian","Fujian",32,2021
"4055","trafficked",5,"Xinjiang","Jiangsu",26,2021
"4054","put up for adoption",1,"Hubei","Henan",44,2021
"4053","put up for adoption",0,"Liaoning","Liaoning",33,2021
"4052","put up for adoption",0,"Jilin","Jilin",38,2021
"4051","trafficked",3,"Guizhou","Guangdong",28,2021
"4050","trafficked",2,"Guangdong","Guangdong",26,2021
"4049","trafficked",7,"Sichuan","Fujian",32,2021
"4048","trafficked",5,"Sichuan","Henan",22,2021
"4047","trafficked",0,"Zhejiang","Zhejiang",40,2021
"4046","abandoned",0,"Hubei","Hubei",34,2021
"4045","trafficked",3,"Zhejiang","Shandong",43,2021
"4044","put up for adoption",5,"Sichuan","Anhui",20,2021
"4043","trafficked",6,"Henan","Henan",25,2021
"4042","trafficked",9,"Guizhou","Henan",25,2021
"4041","trafficked",2,"Henan","Henan",38,2021
"4040","trafficked",6,"Jiangsu","Hebei",62,2021
"4039","put up for adoption",1,"Guizhou","Chongqing",21,2021
"4038","trafficked",2,"Henan","Shandong",33,2021
"4037","trafficked",1,"Guizhou","Fujian",21,2021
"4036","trafficked",2,"Sichuan","Hebei",30,2021
"4035","trafficked",5,"Sichuan","Fujian",31,2021
"4034","trafficked",8,"Henan","Anhui",26,2021
"4033","trafficked",0,"Heilongjiang","Heilongjiang",37,2021
"4032","trafficked",4,"Gansu","Shaanxi",61,2021
"4031","trafficked",5,"Zhejiang","Fujian",32,2021
"4029","trafficked",4,"Jiangxi","Jiangxi",18,2021
"4028","put up for adoption",4,"Hubei","Hubei",27,2021
"4027","put up for adoption",2,"Liaoning","Jilin",44,2021
"4026","trafficked",7,"Sichuan","Fujian",24,2021
"4025","put up for adoption",0,"Jiangsu","Shandong",47,2021
"4024","put up for adoption",0,"Sichuan","Hunan",27,2021
"4023","trafficked",8,"Jiangxi","Fujian",24,2021
"4022","trafficked",4,"Yunnan","Henan",34,2021
"4021","trafficked",5,"Guizhou","Fujian",23,2021
"4020","trafficked",7,"Guangdong","Guangdong",19,2021
"4019","put up for adoption",0,"Zhejiang","Shandong",31,2021
"4018","put up for adoption",2,"Henan","Shanxi",27,2021
"4017","trafficked",5,"Guizhou","Henan",33,2021
"4016","put up for adoption",0,"Jiangsu","Shandong",48,2021
"4015","trafficked",5,"Anhui","Jiangsu",51,2021
"4014","put up for adoption",0,"Zhejiang","Shandong",54,2021
"4013","trafficked",4,"Henan","Henan",29,2021
"4012","put up for adoption",3,"Jiangsu","Jiangsu",59,2021
"4011","abandoned",0,"Jiangsu","Jiangsu",77,2021
"4010","trafficked",1,"Guangdong","Guangdong",20,2021
"4009","trafficked",5,"Guizhou","Fujian",34,2021
"4008","trafficked",15,"Guangdong","Guangdong",10,2021
"4007","trafficked",5,"Guizhou","Fujian",27,2021
"4006","trafficked",14,"Jiangsu","Shanghai",17,2021
"4005","lost",5,"Hubei","Hebei",62,2021
"4004","abandoned",1,"Jiangsu","Jiangsu",63,2021
"4003","trafficked",10,"Sichuan","Shanghai",41,2021
"4002","trafficked",14,"Guangdong","Guangdong",24,2021
"4001","put up for adoption",0,"Jiangsu","Shandong",50,2021
"4000","put up for adoption",0,"Jiangsu","Shandong",49,2021
"3999","trafficked",8,"Jiangsu","Hebei",60,2021
"3998","trafficked",4,"Guizhou","Fujian",28,2021
"3997","trafficked",3,"Guizhou","Guangdong",30,2021
"3996","trafficked",13,"Henan","Henan",20,2021
"3995","trafficked",15,"Guizhou","Henan",32,2021
"3994","trafficked",3,"Guangdong","Guangdong",25,2021
"3993","put up for adoption",0,"Guangdong","Guangdong",25,2021
